goos: darwin
goarch: arm64
pkg: github.com/s1onique/leamas/internal/factory/dupcode
cpu: Apple M3 Max
BenchmarkV4Perf_MaterializeComponentPhase/N128-16    	      57	   7218657 ns/op	34448817 B/op	    4183 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N128-16    	      51	   7646601 ns/op	34448823 B/op	    4183 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N128-16    	      50	   7025510 ns/op	34448819 B/op	    4183 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N128-16    	      62	   7239772 ns/op	34448825 B/op	    4183 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N128-16    	      51	   7662357 ns/op	34448821 B/op	    4183 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N128-16    	      56	   7388792 ns/op	34448836 B/op	    4183 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N128-16    	      51	   7604757 ns/op	34448857 B/op	    4183 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	   65894	      5990 ns/op	   25424 B/op	       8 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	   71270	      5480 ns/op	   25424 B/op	       8 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	   69252	      4907 ns/op	   25424 B/op	       8 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	   75440	      4877 ns/op	   25424 B/op	       8 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	   71343	      5282 ns/op	   25424 B/op	       8 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	   72093	      4958 ns/op	   25424 B/op	       8 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	   72406	      5108 ns/op	   25424 B/op	       8 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	   72771	      5044 ns/op	   25424 B/op	       8 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	   71474	      4991 ns/op	   25424 B/op	       8 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	   72813	      4966 ns/op	   25424 B/op	       8 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	    5450	     77029 ns/op	  586066 B/op	      13 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	    4294	     72637 ns/op	  586066 B/op	      13 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	    5168	     68738 ns/op	  586066 B/op	      13 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	    5518	     66617 ns/op	  586065 B/op	      13 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	    5082	     78937 ns/op	  586066 B/op	      13 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	    4987	     81812 ns/op	  586065 B/op	      13 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	    5636	     69657 ns/op	  586065 B/op	      13 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	    5486	     72365 ns/op	  586065 B/op	      13 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	    4746	     68864 ns/op	  586065 B/op	      13 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	    5152	     67650 ns/op	  586065 B/op	      13 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     100	   3072392 ns/op	18819285 B/op	      24 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     100	   3117706 ns/op	18819283 B/op	      24 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     100	   3072740 ns/op	18819284 B/op	      24 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     100	   3134203 ns/op	18819284 B/op	      24 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     100	   3008354 ns/op	18819282 B/op	      24 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	      96	   3167871 ns/op	18819282 B/op	      24 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     100	   3055370 ns/op	18819280 B/op	      24 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     100	   3155489 ns/op	18819283 B/op	      24 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     100	   3583423 ns/op	18819283 B/op	      24 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     100	   3138277 ns/op	18819280 B/op	      24 allocs/op
