goos: darwin
goarch: arm64
pkg: github.com/s1onique/leamas/internal/factory/dupcode
cpu: Apple M3 Max
BenchmarkV4Perf_MaterializeComponentPhase/N128-16    	     174	   2060504 ns/op	10594923 B/op	    1686 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N128-16    	     176	   1997327 ns/op	10594898 B/op	    1686 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N128-16    	     176	   2119876 ns/op	10594887 B/op	    1686 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N128-16    	     159	   2158295 ns/op	10594891 B/op	    1686 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N128-16    	     170	   2185061 ns/op	10594898 B/op	    1686 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N128-16    	     160	   2218089 ns/op	10594923 B/op	    1686 allocs/op
BenchmarkV4Perf_MaterializeComponentPhase/N128-16    	     163	   2183238 ns/op	10594894 B/op	    1686 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	  127431	      2913 ns/op	    5872 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	  133326	      2610 ns/op	    5872 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	  138008	      2643 ns/op	    5872 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	  132813	      2654 ns/op	    5872 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	  133548	      2735 ns/op	    5872 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	  132502	      2692 ns/op	    5872 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	  135871	      2595 ns/op	    5872 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	  139437	      2644 ns/op	    5872 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	  139176	      2592 ns/op	    5872 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N8-16 	  139039	      2664 ns/op	    5872 B/op	      18 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	   32688	     11258 ns/op	   22512 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	   31875	     11026 ns/op	   22512 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	   32858	     11031 ns/op	   22512 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	   32779	     11030 ns/op	   22512 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	   32767	     11078 ns/op	   22512 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	   31886	     11172 ns/op	   22512 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	   32491	     11078 ns/op	   22512 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	   32078	     11215 ns/op	   22512 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	   32415	     11026 ns/op	   22512 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N32-16         	   32764	     11170 ns/op	   22512 B/op	      22 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     415	    843195 ns/op	 5430128 B/op	      35 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     434	    832566 ns/op	 5430128 B/op	      35 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     418	    826238 ns/op	 5430128 B/op	      35 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     446	    825657 ns/op	 5430133 B/op	      35 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     440	    826145 ns/op	 5430129 B/op	      35 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     438	    835604 ns/op	 5430133 B/op	      35 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     434	    827717 ns/op	 5430129 B/op	      35 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     426	    824957 ns/op	 5430133 B/op	      35 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     423	    840097 ns/op	 5430131 B/op	      35 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     429	    822692 ns/op	 5430131 B/op	      35 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   63724	      5627 ns/op	   13912 B/op	      51 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   65194	      5731 ns/op	   13912 B/op	      51 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   63700	      5662 ns/op	   13912 B/op	      51 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   63002	      5591 ns/op	   13912 B/op	      51 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   63592	      5730 ns/op	   13912 B/op	      51 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   63631	      5606 ns/op	   13912 B/op	      51 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   65245	      5574 ns/op	   13912 B/op	      51 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   64864	      5581 ns/op	   13912 B/op	      51 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   65330	      5482 ns/op	   13912 B/op	      51 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   64412	      5664 ns/op	   13912 B/op	      51 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	   21566	     16553 ns/op	   44120 B/op	      57 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	   21691	     16531 ns/op	   44120 B/op	      57 allocs/op
