goos: darwin
goarch: arm64
pkg: github.com/s1onique/leamas/internal/factory/dupcode
cpu: Apple M3 Max
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     831	    458594 ns/op	 2825073 B/op	      26 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     864	    401123 ns/op	 2825073 B/op	      26 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     889	    390336 ns/op	 2825073 B/op	      26 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     969	    382324 ns/op	 2825073 B/op	      26 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	    1002	    390041 ns/op	 2825074 B/op	      26 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     921	    433213 ns/op	 2825073 B/op	      26 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     957	    405974 ns/op	 2825073 B/op	      26 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     858	    386098 ns/op	 2825073 B/op	      26 allocs/op
BenchmarkV4Perf_GenerateRegionAnnotatedMatches/N128-16        	     826	    417624 ns/op	 2825072 B/op	      26 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   48745	      7466 ns/op	   23480 B/op	      55 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   48464	      7395 ns/op	   23480 B/op	      55 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   48301	      7553 ns/op	   23480 B/op	      55 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   50385	      7161 ns/op	   23480 B/op	      55 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   49587	      7261 ns/op	   23480 B/op	      55 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   49150	      7321 ns/op	   23480 B/op	      55 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   47055	      7141 ns/op	   23480 B/op	      55 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   49615	      7246 ns/op	   23480 B/op	      55 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   49513	      7259 ns/op	   23480 B/op	      55 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N8-16                    	   48187	      7363 ns/op	   23480 B/op	      55 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	   12584	     30036 ns/op	  216248 B/op	      61 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	   12895	     25469 ns/op	  216248 B/op	      61 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	   14221	     25248 ns/op	  216248 B/op	      61 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	   13995	     25661 ns/op	  216248 B/op	      61 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	   14226	     27072 ns/op	  216248 B/op	      61 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	   13465	     28843 ns/op	  216248 B/op	      61 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	   12727	     27420 ns/op	  216248 B/op	      61 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	   13436	     28397 ns/op	  216248 B/op	      61 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	   14031	     26309 ns/op	  216248 B/op	      61 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N32-16                   	   13993	     26032 ns/op	  216248 B/op	      61 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	     225	   1647392 ns/op	 7992548 B/op	    1704 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	     219	   1631033 ns/op	 7992549 B/op	    1704 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	     225	   1648896 ns/op	 7992551 B/op	    1704 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	     217	   1695197 ns/op	 7992544 B/op	    1704 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	     222	   1656136 ns/op	 7992542 B/op	    1704 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	     207	   1635900 ns/op	 7992547 B/op	    1704 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	     214	   1717139 ns/op	 7992572 B/op	    1704 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	     222	   1640816 ns/op	 7992551 B/op	    1704 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	     200	   1634363 ns/op	 7992547 B/op	    1704 allocs/op
BenchmarkV4Perf_TwoIndependentBodies/N128-16                  	     223	   1685519 ns/op	 7992550 B/op	    1704 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  149420	      2306 ns/op	    6248 B/op	      25 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  159717	      2292 ns/op	    6248 B/op	      25 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  161316	      2295 ns/op	    6248 B/op	      25 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  158203	      2449 ns/op	    6248 B/op	      25 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  149626	      2382 ns/op	    6248 B/op	      25 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  151623	      2350 ns/op	    6248 B/op	      25 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  156346	      2420 ns/op	    6248 B/op	      25 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  149842	      2408 ns/op	    6248 B/op	      25 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  141615	      2439 ns/op	    6248 B/op	      25 allocs/op
BenchmarkV4Perf_ShadowFixture-16                              	  148320	      2426 ns/op	    6248 B/op	      25 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  208357	      1791 ns/op	    3240 B/op	      21 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  203464	      1799 ns/op	    3240 B/op	      21 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  204570	      1837 ns/op	    3240 B/op	      21 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  196610	      1830 ns/op	    3240 B/op	      21 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  175764	      1861 ns/op	    3240 B/op	      21 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  201308	      1870 ns/op	    3240 B/op	      21 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  194904	      1831 ns/op	    3240 B/op	      21 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  199664	      1798 ns/op	    3240 B/op	      21 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  209852	      1747 ns/op	    3240 B/op	      21 allocs/op
BenchmarkV4Perf_RepeatedMultiplicity-16                       	  197812	      1866 ns/op	    3240 B/op	      21 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	129126673	         2.786 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	131336431	         2.719 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	131999324	         2.819 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	130173276	         2.766 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	128585319	         2.754 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	132953020	         2.778 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	129919399	         2.743 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	133650298	         2.702 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	130501490	         2.781 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_EmptyCorpus-16                                	133011170	         2.698 ns/op	       0 B/op	       0 allocs/op
BenchmarkV4Perf_LiveTreeClaimEvidence-16                      	     157	   2295624 ns/op	 2032503 B/op	    3000 allocs/op
BenchmarkV4Perf_LiveTreeClaimEvidence-16                      	     142	   2451886 ns/op	 2032457 B/op	    3000 allocs/op
BenchmarkV4Perf_LiveTreeClaimEvidence-16                      	     150	   2323416 ns/op	 2032469 B/op	    3000 allocs/op
BenchmarkV4Perf_LiveTreeClaimEvidence-16                      	     153	   2267174 ns/op	 2032520 B/op	    3001 allocs/op
BenchmarkV4Perf_LiveTreeClaimEvidence-16                      	     158	   2260298 ns/op	 2032484 B/op	    3000 allocs/op
BenchmarkV4Perf_LiveTreeClaimEvidence-16                      	     156	   2243042 ns/op	 2032468 B/op	    3000 allocs/op
BenchmarkV4Perf_LiveTreeClaimEvidence-16                      	     158	   2289060 ns/op	 2032504 B/op	    3000 allocs/op
BenchmarkV4Perf_LiveTreeClaimEvidence-16                      	     158	   2304388 ns/op	 2032485 B/op	    3000 allocs/op
BenchmarkV4Perf_LiveTreeClaimEvidence-16                      	     157	   2302568 ns/op	 2032514 B/op	    3000 allocs/op
BenchmarkV4Perf_LiveTreeClaimEvidence-16                      	     158	   2363095 ns/op	 2032521 B/op	    3001 allocs/op
PASS
ok  	github.com/s1onique/leamas/internal/factory/dupcode	65.812s
